date;price
2017-08-18;4090.2
2017-08-19;4145.1
2017-08-20;4064.3
2017-08-21;4002.5
2017-08-22;4074
2017-08-23;4129.1
2017-08-24;4325.2
2017-08-25;4351.5
2017-08-26;4341.7
2017-08-27;4331.8
2017-08-28;4383.8
2017-08-29;4587.1
2017-08-30;4569
2017-08-31;4718.2
2017-09-01;4904.9
2017-09-02;4534.4
2017-09-03;4595
2017-09-04;4200.4
2017-09-05;4374.9
2017-09-06;4589.1
2017-09-07;4613.5
2017-09-08;4305.8
2017-09-09;4317.9
2017-09-10;4232.1
2017-09-11;4203
2017-09-12;4142.9
2017-09-13;3849.7
2017-09-14;3238.1
2017-09-15;3698
2017-09-16;3685.4
2017-09-17;3666.3
2017-09-18;4084.1
2017-09-19;3900
2017-09-20;3873.2
2017-09-21;3603.4
2017-09-22;3598.5
2017-09-23;3779.6
2017-09-24;3652.8
2017-09-25;3930
2017-09-26;3879.1
2017-09-27;4205.4
2017-09-28;4190
2017-09-29;4169.9
2017-09-30;4367
2017-10-01;4404.3
2017-10-02;4400.1
2017-10-03;4311.1
2017-10-04;4215.1
2017-10-05;4315.4
2017-10-06;4371
2017-10-07;4436
2017-10-08;4613.1
2017-10-09;4782.3
2017-10-10;4777
2017-10-11;4824.9
2017-10-12;5428.5
2017-10-13;5636.8
2017-10-14;5835
2017-10-15;5698.6
2017-10-16;5764.4
2017-10-17;5597.1
2017-10-18;5565
2017-10-19;5694
2017-10-20;5984.5
2017-10-21;6005.1
2017-10-22;5980.5
2017-10-23;5906.9
2017-10-24;5509.5
2017-10-25;5720
2017-10-26;5890
2017-10-27;5759.6
2017-10-28;5720.6
2017-10-29;6156
2017-10-30;6125.3
2017-10-31;6458.3
2017-11-01;6727.3
2017-11-02;7019.9
2017-11-03;7278.4
2017-11-04;7369
2017-11-05;7382
2017-11-06;6955
2017-11-07;7103.3
2017-11-08;7442.4
2017-11-09;7126.2
2017-11-10;6542.2
2017-11-11;6300.7
2017-11-12;5822.1
2017-11-13;6474.6
2017-11-14;6579.2
2017-11-15;7278.3
2017-11-16;7864.2
2017-11-17;7677.9
2017-11-18;7773.3
2017-11-19;8054.2
2017-11-20;8245.1
2017-11-21;8097.3
2017-11-22;8230.1
2017-11-23;7977.1
2017-11-24;8191.6
2017-11-25;8766.2
2017-11-26;9316
2017-11-27;9728.8
2017-11-28;9898
2017-11-29;9749.4
2017-11-30;9907
2017-12-01;10869
2017-12-02;10881
2017-12-03;11157
2017-12-04;11595
2017-12-05;11595
2017-12-06;13527
2017-12-07;16601
2017-12-08;15869
2017-12-09;14660
2017-12-10;14997
2017-12-11;16754
2017-12-12;16967
2017-12-13;16181
2017-12-14;16383
2017-12-15;17522
2017-12-16;19187
2017-12-17;18971
2017-12-18;18934
2017-12-19;17345
2017-12-20;16425
2017-12-21;15666.8
2017-12-22;13170
2017-12-23;14035
2017-12-24;13476
2017-12-25;13623
2017-12-26;15679
2017-12-27;15374
2017-12-28;14315
2017-12-29;14317
2017-12-30;12377
2017-12-31;13800
2018-01-01;13354
2018-01-02;14709.8
2018-01-03;15155
2018-01-04;15160
2018-01-05;16917
2018-01-06;17161
2018-01-07;16196
2018-01-08;14930
2018-01-09;14423
2018-01-10;14896
2018-01-11;13266
2018-01-12;13783
2018-01-13;14191
2018-01-14;13558
2018-01-15;13575
2018-01-16;11072
2018-01-17;11082
2018-01-18;11045
2018-01-19;11476
2018-01-20;12728
2018-01-21;11514
2018-01-22;10771
2018-01-23;10819
2018-01-24;11414
2018-01-25;11146
2018-01-26;11070
2018-01-27;11461
2018-01-28;11839
2018-01-29;11212
2018-01-30;10175
2018-01-31;10284
2018-02-01;9181.1
2018-02-02;8895.8
2018-02-03;9219.4
2018-02-04;8200
2018-02-05;6949.9
2018-02-06;7673.8
2018-02-07;7587
2018-02-08;8235.1
2018-02-09;8683.2
2018-02-10;8563.1
2018-02-11;8069
2018-02-12;8900.6
2018-02-13;8515.9
2018-02-14;9455.4
2018-02-15;9996.9
2018-02-16;10162
2018-02-17;11053.5
2018-02-18;10372
2018-02-19;11173
2018-02-20;11218
2018-02-21;10455
2018-02-22;9830
2018-02-23;10145
2018-02-24;9666.3
2018-02-25;9557.4
2018-02-26;10321
2018-02-27;10569
2018-02-28;10315
2018-03-01;10925
2018-03-02;11025
2018-03-03;11440
2018-03-04;11501
2018-03-05;11416
2018-03-06;10720
2018-03-07;9902.9
2018-03-08;9300
2018-03-09;9217
2018-03-10;8762
2018-03-11;9528
2018-03-12;9121
2018-03-13;9135
2018-03-14;8186.6
2018-03-15;8252.9
2018-03-16;8251
2018-03-17;7851
2018-03-18;8200.2
2018-03-19;8600.1
2018-03-20;8899.7
2018-03-21;8900.1
2018-03-22;8706.4
2018-03-23;8908
2018-03-24;8535
2018-03-25;8445.1
2018-03-26;8119.1
2018-03-27;7784.5
2018-03-28;7936.1
2018-03-29;7094
2018-03-30;6840.4
2018-03-31;6925.3
2018-04-01;6810
2018-04-02;7052.7
2018-04-03;7405.6
2018-04-04;6785.9
2018-04-05;6765
2018-04-06;6610.2
2018-04-07;6892.6
2018-04-08;7023.9
2018-04-09;6764.6
2018-04-10;6839.3
2018-04-11;6943.1
2018-04-12;7912
2018-04-13;7885.8
2018-04-14;8002.9
2018-04-15;8354.1
2018-04-16;8056.2
2018-04-17;7889.9
2018-04-18;8166.3
2018-04-19;8272.8
2018-04-20;8866.1
2018-04-21;8919.1
2018-04-22;8800
2018-04-23;8940
2018-04-24;9644.4
2018-04-25;8878.4
2018-04-26;9279.3
2018-04-27;8920.1
2018-04-28;9345.3
2018-04-29;9398.6
2018-04-30;9240
2018-05-01;9067
2018-05-02;9236.4
2018-05-03;9762.1
2018-05-04;9702.8
2018-05-05;9859.6
2018-05-06;9658.7
2018-05-07;9370
2018-05-08;9184.7
2018-05-09;9318.2
2018-05-10;9018.7
2018-05-11;8412.4
2018-05-12;8462.7
2018-05-13;8683.6
2018-05-14;8670.8
2018-05-15;8467.5
2018-05-16;8336.1
2018-05-17;8051.8
2018-05-18;8239
2018-05-19;8232.3
2018-05-20;8523.7
2018-05-21;8393.4
2018-05-22;7977.3
2018-05-23;7494.8
2018-05-24;7576.7
2018-05-25;7458
2018-05-26;7330.3
2018-05-27;7339.7
2018-05-28;7097.9
2018-05-29;7460
2018-05-30;7375.1
2018-05-31;7485.8
2018-06-01;7521
2018-06-02;7638.1
2018-06-03;7718
2018-06-04;7488.3
2018-06-05;7621.7
2018-06-06;7654
2018-06-07;7688.9
2018-06-08;7615.1
2018-06-09;7498.6
2018-06-10;6757.3
2018-06-11;6873.3
2018-06-12;6543.9
2018-06-13;6295.2
2018-06-14;6633.7
2018-06-15;6385
2018-06-16;6485.9
2018-06-17;6435.7
2018-06-18;6709.2
2018-06-19;6737.5
2018-06-20;6760.4
2018-06-21;6713.5
2018-06-22;6042.6
2018-06-23;6152
2018-06-24;6148
2018-06-25;6246.6
2018-06-26;6078.5
2018-06-27;6133.1
2018-06-28;5850
2018-06-29;6208.1
2018-06-30;6391.5
2018-07-01;6349.7
2018-07-02;6581.3
2018-07-03;6500
2018-07-04;6590
2018-07-05;6540.2
2018-07-06;6602.1
2018-07-07;6761.7
2018-07-08;6707
2018-07-09;6666.7
2018-07-10;6301.5
2018-07-11;6377.8
2018-07-12;6249
2018-07-13;6220
2018-07-14;6250.1
2018-07-15;6347.2
2018-07-16;6729.2
2018-07-17;7319.8
2018-07-18;7379.4
2018-07-19;7473.5
2018-07-20;7333.1
2018-07-21;7403.3
2018-07-22;7400.5
2018-07-23;7719.8
2018-07-24;8394.5
2018-07-25;8176
2018-07-26;7939
2018-07-27;8185.7
2018-07-28;8246.4
2018-07-29;8221
2018-07-30;8179.6
2018-07-31;7730.6
2018-08-01;7608.8
2018-08-02;7535.2
2018-08-03;7420
2018-08-04;7013.2
2018-08-05;7025.8
2018-08-06;6941.3
2018-08-07;6720.5
2018-08-08;6279.2
2018-08-09;6529.1
2018-08-10;6146.8
2018-08-11;6232.7
2018-08-12;6313.9
2018-08-13;6251.9
2018-08-14;6189
2018-08-15;6270.1
2018-08-16;6314
2018-08-17;6583.3
2018-08-18;6391.2
2018-08-19;6485.1
2018-08-20;6255.9
2018-08-21;6479.1
2018-08-22;6354.9
2018-08-23;6527.2
2018-08-24;6695.9
2018-08-25;6732.9
2018-08-26;6708.4
2018-08-27;6909.5
2018-08-28;7079.7
2018-08-29;7045.7
2018-08-30;6994.7
2018-08-31;7025.9
2018-09-01;7197.5
2018-09-02;7290.4
2018-09-03;7268
